카테고리,상품명,제조사,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
삼각김밥,한우불고기삼각김밥,엔젤식품,166,28.52,5.97,2.63,30.0
삼각김밥,호족반트러플감자베이컨삼각김밥,(주)후레쉬퍼스트,166,24.1,2.41,6.63,314.0
삼각김밥,빅치킨마요 삼각김밥,(주)비지에프푸드제주,190,28.36,4.54,6.47,384.0
삼각김밥,소이미트 삼각김밥,(주)그린키친,157,30.51,5.09,1.95,466.0
삼각김밥,고추장제육삼각김밥,(주)엘림데리카후레쉬,417,60.0,7.0,17.0,1726.0
삼각김밥,참치김밥,(주)비지에프푸드,193,23.1,7.68,7.7,448.0
김밥,저당 현미곤약 묵은지참치 김밥,(주)이에스그린푸드,14,2.27,0.0,0.46,0.0
김밥,혜자로운한끼)참치마요김밥,(주)제이비프레시,206,20.68,5.26,11.28,331.0
김밥,육중한김밥제육구이,(주)후레쉬서브,168,21.9,6.2,6.2,394.0
김밥,괌)레드라이스치킨김밥,(주)델리캡,142,22.58,6.45,2.82,448.0
김밥,양념치킨&간장치킨김밥,롯데푸드(주),205,33.93,5.36,5.36,518.0
김밥,원조치즈김밥,(주)후레쉬서브,150,21.35,5.24,4.87,4278.0
샌드위치,에어로-블루베리크림치즈샌드위치,다원푸드서비스(주)쉐프랑,100,7.59,10.34,3.45,2.0
샌드위치,명란에그 소금빵샌드위치,행복모아주식회사,244,22.29,9.14,13.14,363.0
샌드위치,굿모닝 샌드위치,농업회사법인(주)담푸른,293,29.73,5.86,16.67,448.0
샌드위치,크래미샐러드 샌드위치,엘에스지스카이셰프코리아(주),199,22.34,5.32,10.11,533.0
샌드위치,신선한 아이돌샌드위치(딸기쨈),(주)농업회사법인엘푸드서울CK2,106,16.11,2.78,3.33,2400.0
도시락,멘츠까스도시락,아이그린푸드,105,13.66,4.63,3.36,0.0
도시락,버섯소불고기도시락,(주)잇마플,182,24.35,5.51,6.96,192.0
도시락,수비드닭가슴살단백도시락,주식회사 이프리(샐러드유),120,18.0,8.86,1.43,287.0
도시락,오리정식도시락,롯데푸드(주),199,25.0,6.25,8.25,358.0
도시락,클라스도시락,클라스그린도시락주식회사,204,21.58,7.11,9.93,1500.0
밥류(컵밥/덮밥/볶음밥),꾸이한끼 김치제육덮밥,(주)이에스그린푸드,14,1.43,0.86,0.86,0.0
밥류(컵밥/덮밥/볶음밥),새우팟퐁커리덮밥 세트,(주)현대그린푸드 스마트푸드센터,141,21.35,3.65,4.59,210.0
밥류(컵밥/덮밥/볶음밥),고기잡채볶음밥,농업회사법인주식회사한우물,167,30.87,4.78,3.04,304.0
밥류(컵밥/덮밥/볶음밥),치즈숯불제육볶음밥,(주)현대푸드시스템,200,34.29,4.76,4.38,381.0
밥류(컵밥/덮밥/볶음밥),건강한 매콤낙지볶음밥&통통해물완자,㈜시아스쿡,166,20.49,4.39,7.32,468.0
밥류(컵밥/덮밥/볶음밥),크랩이지 대게 맛있는 볶음밥,농업회사법인주식회사한우물,152,27.73,5.45,2.27,3013.0
만두,올그루 야채찐만두,(주)엄지식품,164,23.0,7.8,3.6,1.0
만두,닭가슴살 씨쓰루 만두 닭갈비맛,(주)엄지식품,172,27.78,3.89,5.0,300.0
만두,샘표 김치 만두,농업회사법인한만두식품 주식회사,184,25.1,5.2,7.0,354.0
만두,교자만두,"CHIATAI FOOD ENTERPRISE (QINGDAO) CO., LTD",152,27.0,8.0,1.3,395.0
만두,얇은피꽉찬속 땡초만두,㈜지엠에프,189,19.0,7.75,9.5,455.0
만두,비비고 통오징어만두,CJ CAU TRE FOODS JOINT STOCK COMPANY - LONG AN BRANCH,310,40.0,17.0,9.0,1120.0
면류,핵불닭볶음면,삼양식품(주),396,60.0,8.57,13.57,1036.0
면류,팔도왕뚜껑,(주)팔도,432,64.55,8.18,15.45,1536.0
면류,진라면매운맛(개별스프),오뚜기라면(주),425,65.83,10.0,13.33,1467.0
면류,호두닭가슴살볶음쌀국수,풀무원건강생활(주),88,9.0,9.0,1.8,10.0
면류,초계비빔막국수,나찬푸드,89,15.0,3.54,1.67,458.0
면류,송주불비빔국수,(주)우리델리카/주식회사지에프에스,138,23.53,4.02,3.1,769.0
면류,달인대보칼국수 밀키트,(주)오직코리아,35,4.0,4.0,0.5,4460.0
빵(식사대용),에어로-핫도그샐러드빵,다원푸드서비스(주)쉐프랑,100,7.59,10.34,3.45,2.0
빵(식사대용),착한고추잡채&꽃빵,(주)후레쉬퍼스트,151,18.75,8.33,5.0,205.0
빵(식사대용),고추잡채&꽃빵,주식회사찬장에프에스대전,180,18.0,6.0,7.0,350.0
빵(식사대용),햇살굽는집 참치사라다빵,주식회사프레시오늘,233,24.0,5.0,13.0,390.0
빵(식사대용),가격파괴 고추잡채꽃빵,(주)신세계푸드오산공장,145,20.89,3.78,5.11,565.0
국/탕(즉석국),자연상통붕장어탕,CHUoFood(추어푸드),30,2.0,2.2,1.0,0.0
국/탕(즉석국),오케이쿡우거지감자탕,CK푸드원,72,6.75,5.0,2.75,240.0
국/탕(즉석국),HEYROO베이컨크림그라탕,(주)성보,131,16.5,2.33,6.2,364.0
국/탕(즉석국),전복 미역국,씨드(SEA.D),78,7.0,7.0,2.4,1500.0
계란,청라초란구운계란,청라,163,0.0,15.0,11.25,0.0
계란,가농 맛있게 구운계란,에그코리아,138,2.5,12.5,8.5,150.0
계란,동물복지 유정 구운란 기획 세트,농업회사법인 조인 주식회사,155,4.0,15.0,9.0,180.0
계란,맛좋은구운란,에그온,143,2.86,14.29,5.71,314.0
계란,"삶은 계란 1개(50g, 국가표준값)",-,78,0.6,6.5,5.5,62.0
삼각김밥,속이꽉찬햄참치마요삼각김밥,(주)영진데리카후레쉬,170,29.47,3.97,4.3,46.0
삼각김밥,붉은대게딱지장삼각김밥,(주)후레쉬퍼스트,176,31.82,3.64,3.82,247.0
삼각김밥,대왕참치마요삼각김밥,(주)대정,179,27.45,3.27,3.27,266.0
삼각김밥,숯불갈비맛&김치제육더블삼각김밥,(주)대정,156,28.44,3.32,3.32,293.0
삼각김밥,한상점보참치마요삼각김밥,(주)후레쉬퍼스트,171,26.72,6.13,4.5,316.0
삼각김밥,참치김치 더빅삼각김밥,(주)영진데리카후레쉬,166,28.76,3.92,3.92,339.0
삼각김밥,고추장불고기 삼각김밥,주식회사영우에프엔에프,160,31.82,3.64,2.73,352.0
삼각김밥,갈비치킨삼각김밥,(주)우리델리카,183,31.19,5.5,3.67,367.0
삼각김밥,12XL슈퍼라지킹삼각김밥,(주)푸드플래닛,175,28.75,5.61,4.17,385.0
삼각김밥,모짜콘치즈삼각김밥,(주)후레쉬서브,159,29.75,4.13,2.56,393.0
삼각김밥,Full베이컨참치마요삼각김밥,(주)후레쉬서브,205,25.0,3.95,9.87,414.0
삼각김밥,스팸계란볶음밥삼각김밥,(주)후레쉬퍼스트,197,25.49,3.92,8.82,441.0
삼각김밥,Chefood 간장계란 삼각김밥,롯데평택CK 주식회사,200,32.73,2.73,6.36,464.0
삼각김밥,햄김치볶음밥삼각김밥,(주)영진데리카후레쉬,181,28.57,3.81,5.71,490.0
삼각김밥,더빅돈불깍두기볶음삼각김밥,(주)대정,166,29.41,3.27,3.92,544.0
삼각김밥,단짠흑돼지불고기삼각김밥,롯데후레쉬델리카제2호(주),167,32.05,3.85,1.8,628.0
삼각김밥,고추참치마요삼각김밥,롯데후레쉬델리카제3호 주식회사,246,18.75,4.47,16.97,955.0
김밥,파르팜 정통 충무김밥,복을만드는사람들 주식회사 농업회사법인,175,38.0,4.0,0.7,10.0
김밥,대왕고추마요치킨삼각김밥,(주)대정,190,26.8,3.27,7.84,251.0
김밥,곤드레김밥,웰빙팜,192,22.92,4.17,9.17,300.0
김밥,대파크림치즈김밥,(주)한국데리카후레쉬,170,20.79,4.66,7.53,327.0
김밥,이천원의행복김밥,(주)그린키친,164,29.11,4.23,3.76,352.0
김밥,지구식단)유부런천미트김밥,(주)델리캡,180,22.67,5.33,7.56,370.0
김밥,소시지김밥&유부세트,(주)푸드플래닛,178,29.51,5.38,4.28,389.0
김밥,불고기전주비빔김밥,(주)대정,139,17.37,4.74,5.26,405.0
김밥,향라치킨김밥,(주)영진데리카후레쉬,159,26.66,4.0,4.0,419.0
김밥,알찬한끼세트)김밥&닭강정,(주)한국데리카후레쉬,179,23.08,4.33,7.69,439.0
김밥,찍어먹는땡초김밥,롯데후레쉬델리카제3호주식회사,193,21.57,6.44,8.96,454.0
김밥,햄맛살꼬투리김밥,(주)델리캡,145,23.27,4.4,3.77,474.0
김밥,김밥의정석통햄김밥,롯데푸드(주),179,23.01,6.44,6.75,500.0
김밥,ALL NEW 스팸땡초김밥,롯데부산CK 주식회사,214,25.72,6.19,9.52,524.0
김밥,비빔야채김밥,(주)현대푸드시스템,141,26.5,4.27,2.56,556.0
김밥,닭가슴살김밥,(주)현대그린푸드스마트푸드센터,110,16.71,6.01,2.13,610.0
