가맹점명,간판명,전화번호,가맹점우편번호,주소,구,주소_정리
GS25강서가로공원점,GS25강서가로공원점,02  11111111,7762,서울 강서구 가로공원로 192 1층(화곡동),강서구,서울 강서구 가로공원로 192 1층(화곡동)
GS25 화곡제일점,,02  11111111,7658,"서울 강서구 화곡로 322, 1층 (화곡동)",강서구,"서울 강서구 화곡로 322, 1층 (화곡동)"
CU 화곡월정점,CU 화곡월정점,02  080 3663,7766,"서울 강서구 월정로 156, 1층 (화곡동, 평화빌딩)",강서구,"서울 강서구 월정로 156, 1층 (화곡동, 평화빌딩)"
씨유 강서한아름점,,02  26719162,7733,서울 강서구 등촌로13길 28 (화곡동),강서구,서울 강서구 등촌로13길 28 (화곡동)
세븐일레븐 강서화곡예스점,,02  32848184,7678,서울 강서구 화곡로42길 35 (화곡동),강서구,서울 강서구 화곡로42길 35 (화곡동)
세븐일레븐 화곡자하클래식점,,02  15770711,7678,"서울 강서구 화곡로 262, 1층 101호 (화곡동, 자하클래식)",강서구,"서울 강서구 화곡로 262, 1층 101호 (화곡동, 자하클래식)"
이마트24 화곡베스트점,,02  69161500,7741,"서울 강서구 등촌로 49-14, 지층 (화곡동, 아네스하우스)",강서구,"서울 강서구 등촌로 49-14, 지층 (화곡동, 아네스하우스)"
본죽&비빔밥카페,,0226953788,7714,"서울 강서구 화곡로25길 2, 202호 (화곡동)",강서구,"서울 강서구 화곡로25길 2, 202호 (화곡동)"
이모 오늘 안주 뭐예요?,이모 오늘 안주 뭐예요?,02  26977217,7712,서울 강서구 화곡로21길 17 1층(화곡동),강서구,서울 강서구 화곡로21길 17 1층(화곡동)
원 아구,원 아구,02  00000000,7718,"서울 강서구 화곡로 112, 2층 (화곡동)",강서구,"서울 강서구 화곡로 112, 2층 (화곡동)"
이조궁중떡방앗간,,0226518704,7740,서울 강서구 곰달래로57길 23-7 (화곡동),강서구,서울 강서구 곰달래로57길 23-7 (화곡동)
화곡정육식당,화곡정육식당,02  26014288,7715,"서울 강서구 화곡로 132 , 2층 (화곡동)",강서구,"서울 강서구 화곡로 132 , 2층 (화곡동)"
바다품은달,바다품은달,070 77674000,7708,"서울 강서구 화곡로21길 71 1층 111호 일부(화곡동, 스위트드림아파트)",강서구,"서울 강서구 화곡로21길 71 1층 111호 일부(화곡동, 스위트드림아파트)"
유명숯불갈비,,02  00000000,7738,"서울 강서구 곰달래로 233, 2층 (화곡동, 풍전빌딩)",강서구,"서울 강서구 곰달래로 233, 2층 (화곡동, 풍전빌딩)"
쏘자 핫도그,쏘자 핫도그,02  26057999,7663,"서울 강서구 까치산로 135 , 외1필지 1층우측(북쪽) (화곡동)",강서구,"서울 강서구 까치산로 135 , 외1필지 1층우측(북쪽) (화곡동)"
풍천 민물장어구이점,,02  26998892,7721,"서울 강서구 초록마을로 6, 1층 (화곡동)",강서구,"서울 강서구 초록마을로 6, 1층 (화곡동)"
야생고기집,,0220653392,7761,서울  강서구  가로공원로76길  10 1층  (화곡동),강서구,서울 강서구 가로공원로76길 10 1층 (화곡동)
김밥세상,김밥세상,0226519290,7741,"서울 강서구 등촌로13길 25, 1층 (화곡동)",강서구,"서울 강서구 등촌로13길 25, 1층 (화곡동)"
핫브레드화곡역점,핫브레드화곡역점,02  11111111,7715,"서울 강서구 화곡로 지하168 ,517-107호(화곡동,화곡역5호선)",강서구,"서울 강서구 화곡로 지하168 ,517-107호(화곡동,화곡역5호선)"
세양수산,,0226931770,7679,서울 강서구 화곡로 226 (화곡동),강서구,서울 강서구 화곡로 226 (화곡동)
본도시락 화곡점,본도시락 화곡점,02  26024282,7761,"서울 강서구 가로공원로 186 101호(화곡동, 고센빌딩)",강서구,"서울 강서구 가로공원로 186 101호(화곡동, 고센빌딩)"
취향마라,취향마라,02  11111111,7741,서울 강서구 등촌로5길 2 1층 107호 (화곡동),강서구,서울 강서구 등촌로5길 2 1층 107호 (화곡동)
이팔복돈까스,이팔복돈까스,02  00000000,7715,"서울 강서구 화곡로26가길 36 1층 101호(화곡동, 삼광빌라)",강서구,"서울 강서구 화곡로26가길 36 1층 101호(화곡동, 삼광빌라)"
케이디(KD)푸드,,0226431639,7740,서울  강서구  등촌로5길  52 (화곡동),강서구,서울 강서구 등촌로5길 52 (화곡동)
통영집,통영집,02  11111111,7785,"서울 강서구 곰달래로58길 22, 1층 일부호 (화곡동)",강서구,"서울 강서구 곰달래로58길 22, 1층 일부호 (화곡동)"
식껍 강서구청점,식껍 강서구청점,02  26067877,7654,"서울 강서구 화곡로58길 39 ,1층(화곡동)",강서구,"서울 강서구 화곡로58길 39 ,1층(화곡동)"
남부회관,남부회관,02  11111111,7749,서울 강서구 곰달래로49길 11 에이동 1층 우측(화곡동),강서구,서울 강서구 곰달래로49길 11 에이동 1층 우측(화곡동)
노모어피자화곡점(nomorepizza),노모어피자화곡점(nomorepizza),02  00000000,7720,"서울 강서구 강서로 145 ,1층 101-1호(화곡동, 보눔 하우스 화곡)",강서구,"서울 강서구 강서로 145 ,1층 101-1호(화곡동, 보눔 하우스 화곡)"
롯데리아 강서구청점,롯데리아 강서구청점,02  36634301,7653,"서울 강서구 화곡로 330, 1층 (화곡동)",강서구,"서울 강서구 화곡로 330, 1층 (화곡동)"
피자플렉스 화곡점,피자플렉스 화곡점,02  00000000,7752,서울 강서구 초록마을로 149 1층(화곡동),강서구,서울 강서구 초록마을로 149 1층(화곡동)
